Date;Oslo Børs all-share index (OSEAX);Wilshire 5000 full cap price index (WILL5000);Consumer price index (CPI);Industrial production (Production);Money market rate (3m NIBOR);10-year government bond rate (10y G-bond);Brent crude oil price (Crude oil);USD/NOK exchange rate (USD/NOK) ;Datetime value (Datetime)
1989-01-31;0.5588577;0.16386867;0.056818128;0.050578117;-3.12;-2.3900003;0.017391205;0.05219555;2222.0
1989-02-01;0.5570277;0.16044772;0.056818128;0.050578117;-3.12;-2.4500008;0.013597012;0.05603242;2223.0
1989-02-02;0.56899047;0.17396057;0.056818128;0.050578117;-3.12;-2.6500006;0.049535632;0.05796647;2224.0
1989-02-03;0.5658239;0.1753577;0.056818128;0.050578117;-3.12;-2.5700006;0.03522861;0.05808878;2225.0
1989-02-06;0.5840056;0.17694879;0.056818128;0.050578117;-3.12;-2.5200005;0.024844646;0.06497574;2228.0
1989-02-07;0.5925001;0.19658625;0.056818128;0.050578117;-3.12;-2.5200005;0.0060606003;0.049534082;2229.0
1989-02-08;0.606864;0.18455291;0.056818128;0.050578117;-3.12;-2.6500006;0.021341443;0.05241871;2230.0
1989-02-09;0.59191716;0.15426564;0.056818128;0.050578117;-3.12;-2.6500006;0.02789843;0.050757527;2231.0
1989-02-10;0.5776131;0.14257085;0.056818128;0.050578117;-3.12;-2.4400005;0.018633485;0.038485527;2232.0
1989-02-13;0.5461874;0.1352948;0.056818128;0.050578117;-3.12;-2.4400005;0.047619104;0.04460275;2235.0
1989-02-14;0.5594351;0.13411796;0.056818128;0.050578117;-3.12;-2.6100006;0.07334185;0.039561152;2236.0
1989-02-15;0.5621823;0.13480747;0.042990685;0.04755056;-3.12;-2.7200003;0.07165706;0.03202343;2237.0
1989-02-16;0.59110117;0.13796997;0.050467253;0.051873207;-3.12;-2.7200003;0.08201885;0.03877175;2238.0
1989-02-17;0.5858643;0.148978;0.050467253;0.051873207;-3.12;-2.6100006;0.10788119;0.038252234;2239.0
1989-02-20;0.5837394;0.13744116;0.050467253;0.051873207;-3.12;-2.6100006;0.11768484;0.036507726;2242.0
1989-02-21;0.5520568;0.120257735;0.050467253;0.051873207;-3.12;-2.6100006;0.118335485;0.046091557;2243.0
1989-02-22;0.5320891;0.10589397;0.050467253;0.051873207;-3.12;-2.6100006;0.0879333;0.04964757;2244.0
1989-02-23;0.52274907;0.109276295;0.050467253;0.051873207;-3.12;-2.6100006;0.11400652;0.04581821;2245.0
1989-02-24;0.5043247;0.10170674;0.050467253;0.051873207;-3.12;-2.58;0.14814806;0.045411825;2246.0
1989-02-27;0.48739922;0.099838614;0.050467253;0.051873207;-3.12;-2.5299997;0.19795215;0.042716384;2249.0
1989-02-28;0.5145091;0.08427656;0.050467253;0.051873207;-2.96;-2.5100002;0.1697216;0.054908752;2250.0
1989-03-01;0.5088848;0.08153367;0.050467253;0.051873207;-2.96;-2.5100002;0.21650207;0.060223818;2251.0
1989-03-02;0.52581096;0.08702958;0.050467253;0.051873207;-2.96;-2.5100002;0.26449275;0.059165955;2252.0
1989-03-03;0.5476866;0.090491176;0.050467253;0.051873207;-2.96;-2.5100002;0.2664286;0.05848229;2253.0
1989-03-06;0.5546496;0.1020782;0.050467253;0.051873207;-2.96;-2.4499998;0.2664286;0.05315149;2256.0
1989-03-07;0.5787674;0.099143386;0.050467253;0.051873207;-2.96;-2.5;0.26258993;0.06388676;2257.0
1989-03-08;0.5891639;0.092339754;0.050467253;0.051873207;-2.96;-2.5;0.271739;0.06918931;2258.0
1989-03-09;0.57225096;0.09163666;0.050467253;0.051873207;-2.96;-2.5;0.27324748;0.07363427;2259.0
1989-03-10;0.5401943;0.104905844;0.050467253;0.051873207;-2.96;-2.5199995;0.21754146;0.070727825;2260.0
1989-03-13;0.50623596;0.109553576;0.050467253;0.051873207;-2.96;-2.4799995;0.21639788;0.07018924;2263.0
1989-03-14;0.509933;0.105300546;0.050467253;0.051873207;-2.96;-2.4799995;0.30462182;0.07908535;2264.0
1989-03-15;0.5252428;0.11033285;0.050467253;0.051873207;-2.96;-2.4799995;0.3342657;0.07090974;2265.0
1989-03-16;0.53359365;0.110779166;0.048327208;0.061781645;-2.96;-2.4799995;0.31141877;0.07137227;2266.0
1989-03-17;0.5191628;0.07957959;0.048327208;0.061781645;-2.96;-2.5;0.33749127;0.069474936;2267.0
1989-03-20;0.48069417;0.06944716;0.048327208;0.061781645;-2.96;-2.4400005;0.28466177;0.06756544;2270.0
1989-03-21;0.48200023;0.08188987;0.048327208;0.061781645;-2.96;-2.3500004;0.27633286;0.07092309;2271.0
1989-03-22;0.49031937;0.07873726;0.048327208;0.061781645;-2.96;-2.4099998;0.30405855;0.06832099;2272.0
1989-03-23;0.4681865;0.07189822;0.048327208;0.061781645;-2.96;-2.4099998;0.29415596;0.06848884;2273.0
1989-03-24;0.4785645;0.090966344;0.048327208;0.061781645;-2.96;-2.4099998;0.27348244;0.072701454;2274.0
1989-03-27;0.50002694;0.11214316;0.048327208;0.061781645;-2.96;-2.3999996;0.28996766;0.07694745;2277.0
1989-03-28;0.5446143;0.12017548;0.048327208;0.061781645;-2.96;-2.3999996;0.26881027;0.089576006;2278.0
1989-03-29;0.52946687;0.115024924;0.048327208;0.061781645;-2.96;-2.3999996;0.24679494;0.09520018;2279.0
1989-03-30;0.5179683;0.12345672;0.048327208;0.061781645;-2.96;-2.3999996;0.27388537;0.08966613;2280.0
1989-03-31;0.5347798;0.12814498;0.048327208;0.061781645;-2.88;-2.42;0.3067093;0.0928458;2281.0
1989-04-03;0.5512141;0.13266516;0.048327208;0.061781645;-2.88;-2.42;0.25559103;0.0912559;2284.0
1989-04-04;0.5421752;0.14126992;0.048327208;0.061781645;-2.88;-2.42;0.27156556;0.07965028;2285.0
1989-04-05;0.5419512;0.13592613;0.048327208;0.061781645;-2.88;-2.42;0.27419353;0.09105492;2286.0
1989-04-06;0.50497496;0.10928166;0.048327208;0.061781645;-2.88;-2.42;0.24057221;0.086678386;2287.0
1989-04-07;0.49320757;0.11143303;0.048327208;0.061781645;-2.88;-2.42;0.2491951;0.08269596;2288.0
1989-04-10;0.48944008;0.100495815;0.048327208;0.061781645;-2.88;-2.3199997;0.26045012;0.09082186;2291.0
1989-04-11;0.48711216;0.10213256;0.048327208;0.061781645;-2.88;-2.3199997;0.23148143;0.0900383;2292.0
1989-04-12;0.52717507;0.099051;0.048327208;0.061781645;-2.88;-2.3199997;0.2044903;0.08752394;2293.0
1989-04-13;0.5414988;0.09154415;0.048327208;0.061781645;-2.88;-2.3199997;0.20543814;0.081755996;2294.0
1989-04-14;0.60200214;0.14859271;0.048327208;0.061781645;-2.88;-2.3399992;0.17897892;0.08092666;2295.0
1989-04-17;0.6498991;0.15006638;0.057620883;0.054597616;-2.88;-2.3999996;0.17982185;0.0914669;2298.0
1989-04-18;0.6413822;0.16514623;0.04212463;0.04707563;-2.88;-2.3999996;0.15759313;0.09944749;2299.0
1989-04-19;0.67499006;0.17243516;0.04212463;0.04707563;-2.88;-2.3999996;0.26099718;0.09616637;2300.0
1989-04-20;0.670437;0.17867696;0.04212463;0.04707563;-2.88;-2.3999996;0.3259833;0.098894;2301.0
1989-04-21;0.6767888;0.18835664;0.04212463;0.04707563;-2.88;-2.4300003;0.27058828;0.08998048;2302.0
1989-04-24;0.67826414;0.17340851;0.04212463;0.04707563;-2.88;-2.4000006;0.2361517;0.094029665;2305.0
1989-04-25;0.67258537;0.15946853;0.04212463;0.04707563;-2.88;-2.4000006;0.234676;0.09795654;2306.0
1989-04-26;0.6432531;0.15479887;0.04212463;0.04707563;-2.88;-2.4000006;0.2252618;0.10014582;2307.0
1989-04-27;0.6119051;0.16260898;0.04212463;0.04707563;-2.88;-2.4000006;0.18678164;0.10157144;2308.0
1989-04-28;0.6253301;0.16750908;0.04212463;0.04707563;-2.88;-2.5;0.19372046;0.1056304;2309.0
1989-05-01;0.62760544;0.16913807;0.04212463;0.04707563;-2.92;-2.5099993;0.21385539;0.10850823;2312.0
1989-05-02;0.65657103;0.16698492;0.04212463;0.04707563;-2.7400007;-2.5099993;0.20062697;0.10615611;2313.0
1989-05-03;0.6666026;0.161152;0.04212463;0.04707563;-2.7400007;-2.5099993;0.17412925;0.110499024;2314.0
1989-05-04;0.67592907;0.16940176;0.04212463;0.04707563;-2.7400007;-2.5099993;0.2198143;0.109779835;2315.0
1989-05-05;0.7261292;0.17577755;0.04212463;0.04707563;-2.7400007;-2.5099993;0.2012384;0.11421156;2316.0
1989-05-08;0.73038065;0.17497504;0.04212463;0.04707563;-2.7400007;-2.5299997;0.14285707;0.11507583;2319.0
1989-05-09;0.72459733;0.17744243;0.04212463;0.04707563;-2.7400007;-2.75;0.15333343;0.1184957;2320.0
1989-05-10;0.7575389;0.17680836;0.04212463;0.04707563;-2.7400007;-2.75;0.1526252;0.12040949;2321.0
