Date;Oslo Børs all-share index (OSEAX);Datetime value (Datetime)
1989-01-31;0.5588577;2222.0
1989-02-01;0.5570277;2223.0
1989-02-02;0.56899047;2224.0
1989-02-03;0.5658239;2225.0
1989-02-06;0.5840056;2228.0
1989-02-07;0.5925001;2229.0
1989-02-08;0.606864;2230.0
1989-02-09;0.59191716;2231.0
1989-02-10;0.5776131;2232.0
1989-02-13;0.5461874;2235.0
1989-02-14;0.5594351;2236.0
1989-02-15;0.5621823;2237.0
1989-02-16;0.59110117;2238.0
1989-02-17;0.5858643;2239.0
1989-02-20;0.5837394;2242.0
1989-02-21;0.5520568;2243.0
1989-02-22;0.5320891;2244.0
1989-02-23;0.52274907;2245.0
1989-02-24;0.5043247;2246.0
1989-02-27;0.48739922;2249.0
1989-02-28;0.5145091;2250.0
1989-03-01;0.5088848;2251.0
1989-03-02;0.52581096;2252.0
1989-03-03;0.5476866;2253.0
1989-03-06;0.5546496;2256.0
1989-03-07;0.5787674;2257.0
1989-03-08;0.5891639;2258.0
1989-03-09;0.57225096;2259.0
1989-03-10;0.5401943;2260.0
1989-03-13;0.50623596;2263.0
1989-03-14;0.509933;2264.0
1989-03-15;0.5252428;2265.0
1989-03-16;0.53359365;2266.0
1989-03-17;0.5191628;2267.0
1989-03-20;0.48069417;2270.0
1989-03-21;0.48200023;2271.0
1989-03-22;0.49031937;2272.0
1989-03-23;0.4681865;2273.0
1989-03-24;0.4785645;2274.0
1989-03-27;0.50002694;2277.0
1989-03-28;0.5446143;2278.0
1989-03-29;0.52946687;2279.0
1989-03-30;0.5179683;2280.0
1989-03-31;0.5347798;2281.0
1989-04-03;0.5512141;2284.0
1989-04-04;0.5421752;2285.0
1989-04-05;0.5419512;2286.0
1989-04-06;0.50497496;2287.0
1989-04-07;0.49320757;2288.0
1989-04-10;0.48944008;2291.0
1989-04-11;0.48711216;2292.0
1989-04-12;0.52717507;2293.0
1989-04-13;0.5414988;2294.0
1989-04-14;0.60200214;2295.0
1989-04-17;0.6498991;2298.0
1989-04-18;0.6413822;2299.0
1989-04-19;0.67499006;2300.0
1989-04-20;0.670437;2301.0
1989-04-21;0.6767888;2302.0
1989-04-24;0.67826414;2305.0
1989-04-25;0.67258537;2306.0
1989-04-26;0.6432531;2307.0
1989-04-27;0.6119051;2308.0
1989-04-28;0.6253301;2309.0
1989-05-01;0.62760544;2312.0
1989-05-02;0.65657103;2313.0
1989-05-03;0.6666026;2314.0
1989-05-04;0.67592907;2315.0
1989-05-05;0.7261292;2316.0
1989-05-08;0.73038065;2319.0
1989-05-09;0.72459733;2320.0
1989-05-10;0.7575389;2321.0
1989-05-11;0.8117794;2322.0
1989-05-12;0.83506453;2323.0
1989-05-15;0.82228124;2326.0
1989-05-16;0.8112426;2327.0
1989-05-17;0.8112426;2328.0
1989-05-18;0.81115127;2329.0
1989-05-19;0.84577966;2330.0
1989-05-22;0.8411001;2333.0
1989-05-23;0.82032883;2334.0
1989-05-24;0.81226826;2335.0
1989-05-25;0.81793356;2336.0
1989-05-26;0.8177993;2337.0
1989-05-29;0.79896367;2340.0
1989-05-30;0.7846925;2341.0
1989-05-31;0.76948607;2342.0
1989-06-01;0.7369764;2343.0
1989-06-02;0.731084;2344.0
1989-06-05;0.71563184;2347.0
1989-06-06;0.6800858;2348.0
1989-06-07;0.6837077;2349.0
1989-06-08;0.6522585;2350.0
1989-06-09;0.6329397;2351.0
1989-06-12;0.64616907;2354.0
1989-06-13;0.67569864;2355.0
1989-06-14;0.6635486;2356.0
1989-06-15;0.65501523;2357.0
1989-06-16;0.67326;2358.0
1989-06-19;0.6874889;2361.0
1989-06-20;0.69928527;2362.0
1989-06-21;0.68559456;2363.0
1989-06-22;0.6615795;2364.0
1989-06-23;0.6862258;2365.0
1989-06-26;0.69898534;2368.0
1989-06-27;0.6979879;2369.0
1989-06-28;0.7022356;2370.0
1989-06-29;0.6692828;2371.0
1989-06-30;0.6600282;2372.0
1989-07-03;0.64598966;2375.0
1989-07-04;0.65501666;2376.0
1989-07-05;0.6677064;2377.0
1989-07-06;0.6749829;2378.0
1989-07-07;0.6887077;2379.0
1989-07-10;0.71595716;2382.0
1989-07-11;0.7454376;2383.0
1989-07-12;0.7622014;2384.0
1989-07-13;0.7685001;2385.0
1989-07-14;0.78221095;2386.0
1989-07-17;0.73502266;2389.0
1989-07-18;0.7186589;2390.0
1989-07-19;0.72143066;2391.0
1989-07-20;0.722195;2392.0
1989-07-21;0.70537734;2393.0
1989-07-24;0.7117511;2396.0
1989-07-25;0.7116258;2397.0
